Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Membrane-Bounded Organelle (GO:0043231)	377/5509	0.2761072133310615	0.7626014441805115	0	0	1.040052040360426	1.3385116501558227	ATF1;PANK4;TSBP1;CMAS;NTAQ1;ENO1;ADARB1;SMC6;RBPJ;ABCA12;IKZF4;RPL7;ALKBH5;AKT2;TRIM24;CDK20;FAM53B;EPC1;SOX6;NFRKB;IER3;FAAP100;DDX17;RBFOX3;METTL1;NSMCE3;PIH1D1;STARD9;DAPK3;METTL3;SOX13;MTUS1;RFX3;DDX10;MTUS2;EBF2;CSNK1D;SOX12;GTPBP3;INPP4A;ISL2;RNF126;DDX39A;AKAP9;TCEANC2;PADI2;DNA2;BCORL1;HOXB8;ILRUN;PAXIP1;GGNBP2;FOXG1;AGAP2;ZBTB1;DCUN1D1;FIGNL2;GATA4;BAZ2B;CYB5R2;FXR2;FIGNL1;CMYA5;HOXC5;ATRIP;NKX2-4;CDT1;SRPK3;CFAP74;ZRANB1;CRADD;SETD1B;SETD1A;MICAL3;NFATC2;IRF2BP2;NR0B1;NFATC4;PARP10;PPP5C;EIF5;NPLOC4;CDAN1;CABYR;LAS1L;STAG3;CYP1A2;DMRTC2;MAGED2;CDIN1;FERMT2;HOXD8;INTS11;BTG4;SMG1;SNX10;PTH1R;EFCAB6;ING1;ING3;HNF4A;SH3BGRL2;NELFCD;JAK2;CLIC1;BRD3;TEAD4;RMI2;ZHX2;TIGD5;DUSP3;FOXD1;PCYT1A;ACTL6B;SYK;STRBP;EN1;KIF23;PAX6;SIRT7;TYK2;TUBG2;DYNLL1;PPRC1;SIRT1;GNL1;CBFA2T3;DDB1;ZFTA;MN1;TOX3;KAT2B;MED25;ZEB2;AEBP2;PDIK1L;TAL1;NFX1;PPARA;PRMT9;PRKN;SF3B4;FOXC1;MYRF;KARS1;SATB1;DLST;TRAK1;CENPB;RELB;BCLAF1;SCAF8;RBM15B;RXRA;SERTAD2;RNF138;LEO1;SPOP;HSF4;FLNA;PABPC1L2A;STX2;PMS1;SRSF11;RUNX1T1;BRD4;ARNT2;MBD6;YTHDF2;MYEF2;CDX2;ERCC6L2;SEPTIN2;STAT2;GINS3;ATAD2;HUWE1;XPO7;PUS7L;LBX1;POU4F1;SEPTIN7;PPP1CA;PER2;FOXR1;PER1;WT1;GID8;MPLKIP;CTNNB1;PKN2;UBAP2;NCAPD2;BMAL2;ACTR10;PRDM4;UBE2D3;JADE1;LOXL3;UBE2D1;MYRFL;UBE2Z;CARF;ETS1;FGF2;ACTG1;CCND3;RGS3;CCND2;SMARCAD1;MTREX;PITX2;MAP3K7;PITX3;TGM2;PDGFRA;TLE2;FBXW7;KMT5C;FBXW11;RALGAPA1;TOMM34;PIAS2;SAP30;EEF1A1;MAF;KAT6B;CARD19;SRSF2;PHIP;SNRPC;SNRPB;NOTCH1;PSMD13;MAZ;FOXO6;BHLHE22;FOXO3;PDS5A;RLF;GTF2E1;FOXO1;ZFP36L2;NPAS3;SBNO1;SCRT2;RNASEH1;PDZD2;ZMAT2;NACC2;ZKSCAN8;DMAP1;SUDS3;MDN1;BCL9L;AKIRIN1;TNK2;ANKRD23;ZBTB10;USB1;DHCR24;EVX2;FOXN2;MCC;MAFA;SCRT1;CLK1;CDK9;MOB1B;NR4A2;PTPRE;DLG1;APPBP2;TLX3;LHX2;MAFG;TLX1;GNAS;SP8;TCF4;KDM5B;DYRK3;NAA40;MCMDC2;ONECUT1;CHD7;CELF5;CHD3;CTDSPL2;YBX1;CHD2;SOBP;PKD2;CHD1;CDC73;DTWD2;PPP6R1;SNRNP70;TRPS1;NTMT2;SNAPC4;METTL16;CNPPD1;RBM33;KDM6B;KLF10;ACTR2;NAA30;GLRX3;ACTR5;FOXL1;TRNAU1AP;AXIN2;ARID1A;ETV4;TTI2;MSL1;ARL4C;EPN3;CCNA1;ASPM;SFPQ;PTP4A3;RER1;PALLD;POLR1C;RBM20;POLR1E;MYH9;TOP1;POLR1G;L3MBTL4;RBMS3;HDAC4;SASH3;USP16;ZBTB47;POLDIP2;PERM1;RNF38;TULP3;TTK;UACA;IWS1;PPM1G;CECR2;MTA1;NXF3;CCDC85B;RBBP5;E2F3;POLR2H;SPEN;USP25;KDM4B;SKOR2;EYA2;SMOX;IRX6;TAF11;ATP2B4;MAPK15;PTPN14;USP29;KLF8;KLF7;TRIM39;TEF;NOVA1;EIF3G;NAA16;RGS12;NAA15;ERCC6;NRDE2;TRIM33;OTUD3
Nuclear Membrane (GO:0031965)	15/189	0.27885606428049375	0.7626014441805115	0	0	1.2095782533619381	1.5447034344284378	PHF20;SMOX;OSBPL3;HUWE1;ATP1B4;ENO1;TMC6;LEMD3;SIRT1;GLE1;INPP4A;CLK1;TMX4;CCND2;EPC1
Autophagosome (GO:0005776)	8/93	0.27942103217265624	0.7626014441805115	0	0	1.3199200887902331	1.6829450479607266	TBC1D5;ATG16L1;ATG9B;PIP4K2A;CHMP3;WIPI1;PRKD1;MAPK15
Intracellular Membraneless Organelle (GO:0043232)	85/1196	0.28011655677296127	0.7626014441805115	0	0	1.0762566641279512	1.3695898671528548	DYRK3;CMAS;SYCP1;CHD7;CHD3;SEPTIN14;ADARB1;RBPJ;KRT20;ACTG1;RPL7;GLE1;EPB41L4B;CCND2;RPL36;EPC1;RAC3;MTREX;ACTR2;FBXW7;PIH1D1;DAPK3;TPM1;MTUS1;SHROOM3;CSNK1D;KIF23;KRT77;SIRT7;NRG2;TUBG2;URB1;DYNLL1;SIRT1;ETV4;FAM133B;DDB1;EEF1A1;ZEB2;SHQ1;NFX1;AKAP9;CFAP58;DCX;POLR1E;TOP1;POLR1G;TULP3;TTK;PDS5A;PPL;CENPB;SYCE2;RBM15B;CALD1;RBBP5;EPB41L3;FLNA;MDN1;E2F8;BRD4;NOP56;MPP2;MBD6;CRADD;KRR1;OSBPL3;NR0B1;PUM3;MOB1B;PARP10;TBL3;RPS28;ZZZ3;LAS1L;STAG3;NOVA1;NCAPD2;MAGED2;BMAL2;RGS12;CIAPIN1;ERCC6;NRDE2;RPS23
COPII-coated ER to Golgi Transport Vesicle (GO:0030134)	7/80	0.28387580865247286	0.7626014441805115	0	0	1.344635219735945	1.69318945023633	MCFD2;F8;SEC24A;TMED3;TGFA;CNIH2;YIF1B
Platelet Alpha Granule Lumen (GO:0031093)	6/67	0.28775310222390327	0.7626014441805115	0	0	1.3791246124007066	1.7179099529390554	F8;APOOL;PDGFB;MAGED2;A1BG;VEGFA
Prespliceosome (GO:0071010)	2/16	0.28936904184454376	0.7626014441805115	0	0	2.0020392830310185	2.482633706090185	SNRNP70;SNRPB
U2-type Prespliceosome (GO:0071004)	2/16	0.28936904184454376	0.7626014441805115	0	0	2.0020392830310185	2.482633706090185	SNRNP70;SNRPB
Spliceosomal snRNP Complex (GO:0097525)	5/54	0.2904900808588913	0.7626014441805115	0	0	1.4305692156380625	1.7684494194385991	SF3B4;TXNL4B;SNRNP70;SNRPC;SNRPB
Barr Body (GO:0001740)	1/5	0.2917159929324314	0.7626014441805115	0	0	3.502815315315315	4.315379416275947	SMCHD1
Bleb (GO:0032059)	1/5	0.2917159929324314	0.7626014441805115	0	0	3.502815315315315	4.315379416275947	TPM1
Cul4B-RING E3 Ubiquitin Ligase Complex (GO:0031465)	1/5	0.2917159929324314	0.7626014441805115	0	0	3.502815315315315	4.315379416275947	DDB1
